weather_score,qt_jeans_kg,qt_water_to_use_liters,qt_electricity_to_use_kWh,pv_output_kWh,water_saved_liters,cost_saved_TND
0.6247240713084175,31341,3134100,43877.4,12036.107982816178,2350575.0,5406.3225
0.9704285838459497,41855,4185500,58597.0,21478.270524417247,3139125.0,7219.987499999999
0.839196365086843,54791,5479100,76707.4,25088.483815388892,4109325.0,9451.4475
0.759195090518222,30338,3033800,42473.2,11205.57671314846,2275350.0,5233.305
0.4936111842654619,35895,3589500,50253.0,9293.368049521423,2692125.0,6191.887499999999
0.9414477268626797,42254,4225400,59155.6,19238.98725041689,3169050.0,7288.814999999999
0.8305078085828523,49092,4909200,68728.8,17959.543334549315,3681900.0,8468.37
0.9152576720333626,41344,4134400,57881.6,22286.701892793477,3100800.0,7131.839999999999
0.7606690070459252,31750,3175000,44450.0,14662.208338450473,2381250.0,5476.875
0.8248435466776274,51988,5198800,72783.2,25448.615808187995,3899100.0,8967.93
0.41235069657748147,32421,3242100,45389.4,7349.888627067294,2431575.0,5592.6225
0.9819459112971965,37119,3711900,51966.6,19184.48852962147,2783925.0,6403.027499999999
0.899465584480253,55285,5528500,77399.0,32905.98798462139,4146375.0,9536.6625
0.5274034664069657,35319,3531900,49446.6,10530.847431733597,2648925.0,6092.527499999999
0.5090949803242604,45896,4589600,64254.4,12948.438214364985,3442200.0,7917.0599999999995
0.5100427059120604,52993,5299300,74190.2,11546.111135747458,3974475.0,9141.2925
0.5825453457757226,51771,5177100,72479.4,15548.430955195618,3882825.0,8930.4975
0.9213430092765712,41918,4191800,58685.2,20332.134126970086,3143850.0,7230.854999999999
0.8848261342604772,50377,5037700,70527.8,23699.146606016962,3778275.0,8690.0325
0.9472888471249445,55064,5506400,77089.6,30381.382707796034,4129800.0,9498.54
0.7671117368334277,54428,5442800,76199.2,23774.156216262647,4082100.0,9388.83
0.4836963163912251,43849,4384900,61388.6,12518.190548352724,3288675.0,7563.952499999999
0.5752867891211308,54622,5462200,76470.8,19927.639243452995,4096650.0,9422.295
0.619817105976215,34873,3487300,48822.2,13998.575825818909,2615475.0,6015.5925
0.6736419905302216,34806,3480600,48728.4,14562.19819797736,2610450.0,6004.035
0.8711055768358081,38592,3859200,54028.8,23113.740921888297,2894400.0,6657.119999999999
0.5198042692950159,42182,4218200,59054.8,9321.018037653765,3163650.0,7276.394999999999
0.708540663048167,52297,5229700,73215.8,17594.161745771853,3922275.0,9021.2325
0.7554487413172255,53508,5350800,74911.2,17063.070521562095,4013100.0,9230.13
0.986873402953803,49541,4954100,69357.4,29397.62890935582,3715575.0,8545.8225
0.9851137025813552,46774,4677400,65483.6,30938.810612599336,3508050.0,8068.514999999999
0.8901678742808264,42045,4204500,58863.0,18270.98019264078,3153375.0,7252.762499999999
0.43903095579116774,34430,3443000,48202.0,10272.263590180979,2582250.0,5939.175
0.9693313223519999,38820,3882000,54348.0,16439.357525907093,2911500.0,6696.449999999999
0.9793792198447356,54070,5407000,75698.0,36096.380203935114,4055250.0,9327.075
0.8850384088698766,34232,3423200,47924.8,15707.422182400533,2567400.0,5905.02
0.5827682615040224,41122,4112200,57570.8,10745.673091921319,3084150.0,7093.544999999999
0.45860326840383037,45023,4502300,63032.2,11481.028804040083,3376725.0,7766.467499999999
0.8105398159072941,38007,3800700,53209.8,15153.48438282751,2850525.0,6556.207499999999
0.6640914962437607,47905,4790500,67067.0,15899.156748797732,3592875.0,8263.6125
0.47322294090686734,39018,3901800,54625.2,9343.6521746351,2926350.0,6730.604999999999
0.822647609168151,31500,3150000,44100.0,16710.184563572588,2362500.0,5433.75
0.9969682397924668,36737,3673700,51431.8,20911.954161245925,2755275.0,6337.132499999999
0.9677796172891868,33294,3329400,46611.6,16341.52981822045,2497050.0,5743.215
0.5552679889600102,51469,5146900,72056.6,16887.196245874813,3860175.0,8878.4025
0.7975133706123891,48803,4880300,68324.2,24151.372049233312,3660225.0,8418.5175
0.5870266456536466,55510,5551000,77714.0,16173.488295819643,4163250.0,9575.475
0.7120408127066865,49426,4942600,69196.4,18856.36577643364,3706950.0,8525.985
0.7280261676059678,34497,3449700,48295.8,11405.299641100322,2587275.0,5950.7325
0.5109126733153162,47850,4785000,66990.0,11507.816971718292,3588750.0,8254.124999999998
0.9817507766587351,49945,4994500,69923.0,29945.421821735414,3745875.0,8615.5125
0.8650796940166687,30614,3061400,42859.6,12468.52771840785,2296050.0,5280.915
0.9636993649385135,51776,5177600,72486.4,28293.59718330829,3883200.0,8931.36
0.8249325362406534,54077,5407700,75707.8,27592.67881933525,4055775.0,9328.2825
0.9841683765234744,39374,3937400,55123.6,17434.90511325722,2953050.0,6792.014999999999
0.9739792724124257,49607,4960700,69449.8,27967.701862891026,3720525.0,8557.2075
0.4530955012311517,53522,5352200,74930.8,11927.345296659585,4014150.0,9232.545
0.5175897174514872,32667,3266700,45733.8,11660.15816751324,2450025.0,5635.0575
0.4271363733463229,54364,5436400,76109.6,12896.687906690335,4077300.0,9377.79
0.5951981984579586,43409,4340900,60772.6,16682.353529299333,3255675.0,7488.052499999999
0.6332063738136893,46514,4651400,65119.6,16907.868024340478,3488550.0,8023.664999999999
0.5628094190643376,32983,3298300,46176.2,8022.164545323654,2473725.0,5689.5675
0.8972425054911576,50662,5066200,70926.8,27150.12771678253,3799650.0,8739.195
0.6140519960161536,53510,5351000,74914.0,22553.445757056463,4013250.0,9230.475
0.5685607058124285,42651,4265100,59711.4,14269.757521776875,3198825.0,7357.297499999999
0.9037676114252144,38230,3823000,53522.0,22436.50563664494,2867250.0,6594.674999999999
0.9182550871489858,54078,5407800,75709.2,33150.17739655052,4055850.0,9328.455
0.8798005407740261,36640,3664000,51296.0,15597.73392084292,2748000.0,6320.399999999999
0.44473038620786254,41779,4177900,58490.6,8906.929416511324,3133425.0,7206.877499999999
0.9921321619603104,51852,5185200,72592.8,30407.26746550077,3888900.0,8944.47
0.8633468615779945,45317,4531700,63443.8,20934.9368277281,3398775.0,7817.182499999999
0.5192294089205034,47304,4730400,66225.6,16091.824783445596,3547800.0,8159.939999999999
0.4033132702741615,37564,3756400,52589.6,10180.938197877615,2817300.0,6479.789999999999
